Word,Count,article_id
ERA,54,"[1, 4, 5, 6, 7, 11, 12, 15, 16, 18, 21, 22, 25, 26, 31, 36, 37, 38, 42, 43, 44, 47, 50, 51, 52, 53, 55, 56, 57, 58, 59, 60, 61, 64, 65, 66, 67, 68, 69, 70, 78, 80, 81, 82, 83, 84, 85, 86, 88, 89, 90, 92, 93, 94]"
hit,44,"[1, 3, 5, 6, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 22, 23, 24, 25, 30, 32, 35, 39, 42, 44, 45, 46, 48, 49, 50, 54, 62, 66, 68, 69, 70, 71, 72, 75, 76, 78, 82, 86, 92, 95]"
plate,40,"[1, 5, 8, 9, 10, 11, 15, 17, 22, 23, 24, 25, 30, 32, 35, 38, 41, 42, 44, 45, 46, 48, 49, 54, 55, 56, 60, 62, 63, 66, 67, 68, 73, 75, 77, 87, 92, 95, 98, 99]"
walk,32,"[1, 3, 4, 5, 6, 7, 10, 14, 16, 24, 26, 31, 32, 36, 37, 42, 48, 49, 50, 55, 59, 60, 61, 65, 68, 69, 70, 78, 82, 83, 89, 90]"
run,21,"[5, 7, 10, 14, 15, 31, 32, 36, 37, 39, 56, 58, 59, 62, 70, 73, 77, 80, 93, 94, 97]"
appearance,14,"[3, 7, 12, 16, 31, 37, 43, 50, 53, 68, 70, 74, 83, 85]"
double,2,"[22, 32]"
slugging,2,"[5, 50]"
triple,2,"[49, 76]"
OBP,1,[17]
